Skor Akhir,50

Emosi,Persentase
Netral,48.11%
Marah,51.89%
Skor Akhir,110

Emosi,Persentase
Netral,43.52%
Marah,54.47%
Cemas,1.15%
Senang,0.86%
================================
Skor Akhir,130

Emosi,Persentase
Marah,12.75%
Netral,70.25%
Senang,17.00%
================================
Skor Akhir,150

Emosi,Persentase
Netral,99.76%
Marah,0.24%
================================
Skor Akhir,90

Emosi,Persentase
Netral,87.52%
Marah,4.26%
Senang,5.18%
Sedih,1.22%
Cemas,0.30%
Terkejut,1.52%
================================
Skor Akhir,60

Emosi,Persentase
Marah,7.14%
Netral,91.92%
Cemas,0.38%
Senang,0.19%
Sedih,0.38%
================================
Skor Akhir,230

Emosi,Persentase
Netral,97.70%
Senang,1.08%
Marah,1.23%
================================
Skor Akhir,220

Emosi,Persentase
Marah,1.06%
Netral,87.53%
Cemas,11.42%
================================
Skor Akhir,70

Emosi,Persentase
Netral,91.28%
Cemas,4.03%
Terkejut,2.01%
Marah,2.68%
================================
Skor Akhir,40

Emosi,Persentase
Marah,61.81%
Netral,37.19%
Cemas,1.01%
================================
Skor Akhir,80

Emosi,Persentase
Sedih,0.95%
Netral,93.33%
Cemas,2.54%
Marah,3.17%
================================
Skor Akhir,260

Emosi,Persentase
Netral,93.68%
Marah,3.64%
Cemas,2.20%
Senang,0.38%
Jijik,0.10%
================================
Skor Akhir,100

Emosi,Persentase
Netral,89.74%
Marah,10.26%
================================
Skor Akhir,0

Emosi,Persentase
================================
Skor Akhir,170

Emosi,Persentase
Senang,0.23%
Marah,5.90%
Netral,93.88%
